date,macroindicator1,macroindicator2
20231231,0.1231329703724002,2992.5834701932677
20240131,0.38244748484105523,486.74069988413845
20240229,0.13639183084407008,2682.209031662119
20240331,0.20098399337173223,2942.639287616889
20240430,0.3521382113502689,2199.320873937824
20240531,0.3229889658001092,1991.8899233682298
20240630,0.3989072882025751,1538.1426608726417
20240731,0.14445460051131656,1976.1832308807323
20240831,0.38289514681455966,1501.4855674750966
20240930,0.2845859484403931,2362.3707065290514
20241031,0.37645779437111304,215.73564886103372
20241130,0.12790131614990688,1755.2260935505103
20241231,0.24661177311771473,203.24767255303124
20250131,0.21399067257797288,1863.4156476182497
20250228,0.35414366168082,2683.0467807474206
20250331,0.03812119373629724,310.5001425346299
20250430,0.12770675431981396,1431.3220517526795
20250531,0.05661235037786435,601.8978667720285
20250630,0.10626532281748947,599.0523652724177
20250731,0.017886872194522473,1664.6923355381227
20250831,0.04576972422762616,389.37474502043017
20250930,0.053804005260767576,1618.2917072150183
20251031,0.21852539105055613,2459.0672846167927
20251130,0.27155951031464604,2278.036527057616
20251231,0.2565820753479806,2484.6980471397205
